brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.014338,0.308756,0.534530,0.151788,0.00590048,8.7500,47.00,58.00,64.00,-1.00
0.012831,0.233813,0.509007,0.204670,0.00539074,13.5900,50.00,55.00,60.50,-1.00
0.014798,0.352558,1.119417,0.199988,0.00626885,7.3800,48.00,56.00,61.00,-1.00
0.015497,0.248805,0.819737,0.192414,0.00568083,12.3400,50.00,57.50,63.00,-1.00
0.014012,0.237542,1.058265,0.227246,0.00705127,6.1200,42.00,50.00,54.00,-1.00
0.011724,0.314287,0.405326,0.176187,0.00536890,8.0800,50.00,58.00,63.50,-1.00
0.012394,0.245732,0.729936,0.216988,0.00527204,12.9300,46.00,53.00,57.00,-1.00
0.015345,0.389537,0.670241,0.144474,0.00710867,11.5100,43.00,54.00,60.50,-1.00
0.012399,0.360177,1.158986,0.190629,0.00574432,8.6800,43.00,50.50,55.00,-1.00
0.014423,0.436127,0.982204,0.179071,0.00653488,12.1200,46.50,56.00,62.50,-1.00
0.012021,0.367969,0.532177,0.181000,0.00501407,2.7600,46.00,54.00,59.00,-1.00
0.010950,0.159676,0.582364,0.194865,0.00684562,12.7100,49.00,54.00,57.50,-1.00
0.013712,0.234304,1.117252,0.165272,0.00644693,13.1600,46.00,55.00,58.50,-1.00
0.014643,0.219741,1.014574,0.184062,0.00609019,4.4500,49.00,57.00,63.00,-1.00
0.010013,0.238448,0.423226,0.232948,0.00823533,13.1300,45.50,53.50,58.00,-1.00
0.011220,0.380029,0.838294,0.139568,0.00645744,7.3800,48.00,58.00,63.00,-1.00
0.015674,0.370727,1.102942,0.220519,0.00817073,11.6700,45.50,52.50,55.50,-1.00
0.011770,0.312781,1.117279,0.195979,0.00539885,11.0200,47.00,55.50,59.00,-1.00
0.009463,0.191123,0.667903,0.201180,0.00690413,10.2000,48.00,56.00,59.00,-1.00
0.012705,0.406353,0.650327,0.199360,0.00538340,12.7100,50.00,57.50,60.50,-1.00
0.012123,0.399183,0.659743,0.194939,0.00517295,7.2100,44.50,52.50,58.00,-1.00
0.013669,0.197779,1.064429,0.196499,0.00636980,12.4200,43.00,49.00,55.00,-1.00
