generation,epsilon,attempts,prior_reject,sim_fail,accepted,acceptance_rate,ess,ess_ratio,rhat,max_weight,weighted_sse_mean,weighted_sse_min
0,20.0,1388,0,0,150,0.10806916426512968,149.99999999999994,0.9999999999999997,nan,0.006666666666666667,11.975933333333334,0.21
1,13.646,14166,11819,0,150,0.010588733587462939,144.1983668430946,0.9613224456206306,nan,0.011512162856891833,9.2966,2.76
2,11.004,22820,19719,0,150,0.006573181419807186,144.36300985482058,0.9624200656988038,nan,0.012534274004876073,7.4372,1.17
3,8.86,32369,28050,0,150,0.004634063455775588,143.9873653022755,0.9599157686818366,nan,0.012508675888533893,5.7782,1.01
