brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.016843,0.319953,0.850172,0.224616,0.00730688,4.7200,46.50,51.00,56.00,-1.00
0.015711,0.253389,0.958193,0.227881,0.00690034,6.2500,44.00,49.00,53.50,-1.00
0.013808,0.294656,0.667140,0.188388,0.00474060,7.6800,45.00,53.00,57.50,-1.00
0.015489,0.171973,0.567949,0.228148,0.00771099,6.2300,45.50,54.00,58.00,-1.00
0.009840,0.323703,0.834491,0.162572,0.00629068,7.3100,50.00,58.00,63.00,-1.00
0.013789,0.400467,0.788477,0.144844,0.00672175,8.3900,46.00,59.00,61.00,-1.00
0.013758,0.211339,1.093947,0.182225,0.00622770,3.5500,46.00,55.00,60.00,-1.00
0.012645,0.299155,0.536644,0.178901,0.00500894,4.1200,46.50,57.00,59.50,-1.00
0.015533,0.252214,1.035096,0.199479,0.00613143,6.1800,44.00,53.00,58.50,-1.00
0.014113,0.200092,0.692914,0.177051,0.00565391,7.8100,47.00,54.00,60.00,-1.00
0.013003,0.441395,0.507266,0.190819,0.00638037,1.9900,45.00,54.00,59.50,-1.00
0.012640,0.357382,0.685997,0.215723,0.00527160,3.0200,46.00,54.00,58.50,-1.00
0.015405,0.300086,0.746845,0.227577,0.00611544,8.2400,43.00,50.00,55.00,-1.00
0.016522,0.183841,1.123888,0.224432,0.00967200,4.5000,43.00,51.00,55.50,-1.00
0.012552,0.213505,0.722819,0.193211,0.00510753,7.3300,47.00,54.00,60.00,-1.00
0.012545,0.427297,1.126711,0.157613,0.00766891,6.8700,44.00,56.00,62.00,-1.00
0.009508,0.251958,0.570676,0.225545,0.00702276,5.1100,48.00,54.50,60.00,-1.00
0.012963,0.331694,0.942534,0.208562,0.00516794,2.9000,50.00,57.00,62.00,-1.00
0.014129,0.403552,0.894644,0.169704,0.00582260,8.6500,45.00,54.50,61.00,-1.00
0.014559,0.342838,1.196914,0.145943,0.00829953,6.5100,48.50,59.50,64.00,-1.00
0.012882,0.294266,0.439288,0.169164,0.00559552,6.1500,45.00,56.00,60.00,-1.00
0.015201,0.408036,0.761566,0.185365,0.00587449,5.3800,46.00,55.00,58.00,-1.00
0.016103,0.205912,0.623619,0.225955,0.00728836,4.4100,46.00,52.00,57.00,-1.00
0.011488,0.262779,0.511983,0.213984,0.00551099,4.7700,47.00,53.00,56.00,-1.00
0.011313,0.221338,0.410280,0.234625,0.00728305,4.4700,43.00,51.00,56.00,-1.00
0.011454,0.361488,1.198760,0.183135,0.00676059,5.9500,45.00,55.00,60.00,-1.00
0.008519,0.199972,1.183079,0.198067,0.01012992,2.7100,46.00,56.00,60.00,-1.00
0.016632,0.408509,1.047548,0.186854,0.00781645,2.0400,46.50,54.00,59.00,-1.00
0.011334,0.347257,0.383927,0.176537,0.00609223,8.2800,47.50,57.00,61.50,-1.00
0.012590,0.229133,1.069459,0.199383,0.00575782,5.7900,48.50,56.50,61.00,-1.00
0.009950,0.345279,0.353864,0.162051,0.00768922,7.0100,46.00,57.00,62.00,-1.00
0.014112,0.227690,1.076095,0.197561,0.00592331,2.1000,47.00,53.50,57.50,-1.00
0.011900,0.261362,0.984448,0.210630,0.00546210,7.6500,46.00,53.00,59.00,-1.00
0.012793,0.339108,0.549276,0.215339,0.00532716,5.3000,44.00,50.00,55.00,-1.00
0.015344,0.251980,1.036954,0.229958,0.00716814,2.5600,44.00,51.00,56.00,-1.00
0.014469,0.208622,1.069800,0.147025,0.00819132,4.8400,48.00,60.00,64.00,-1.00
0.015298,0.350748,0.799250,0.232442,0.00666922,3.4100,44.00,52.00,57.00,-1.00
0.009767,0.317861,0.613018,0.212260,0.00613318,7.3300,45.00,53.00,57.00,-1.00
0.012737,0.175901,0.241155,0.202812,0.00773028,6.8600,48.00,55.00,60.50,-1.00
0.012847,0.315500,0.963810,0.173903,0.00514852,7.3300,45.00,56.00,62.00,-1.00
0.013722,0.441886,1.186543,0.165346,0.00823018,4.4100,41.00,51.50,57.50,-1.00
0.013283,0.411552,1.019837,0.236869,0.00812872,4.6500,46.00,54.00,58.00,-1.00
0.012917,0.229042,0.564848,0.211450,0.00530724,5.9600,45.00,49.00,55.00,-1.00
0.014730,0.387393,1.171652,0.148133,0.00842072,4.7800,48.50,57.50,64.00,-1.00
0.012761,0.322624,1.070935,0.206439,0.00558224,5.7000,49.00,57.00,58.00,-1.00
0.012626,0.208881,0.848334,0.204371,0.00530783,5.6600,46.00,54.00,59.00,-1.00
0.013145,0.277721,1.118692,0.201011,0.00571381,8.0400,43.00,52.00,56.50,-1.00
0.012148,0.225048,0.621795,0.228200,0.00588796,4.6200,46.00,51.50,55.50,-1.00
0.014953,0.331526,0.978838,0.198717,0.00549732,2.8200,45.00,54.00,59.00,-1.00
0.013412,0.264666,1.024314,0.228879,0.00624564,3.9700,47.00,55.00,59.50,-1.00
0.012201,0.443984,0.646260,0.211801,0.00663713,5.8100,45.00,52.50,57.00,-1.00
0.016658,0.232942,0.589924,0.142059,0.00940313,7.8300,45.00,55.00,61.50,-1.00
0.011840,0.249328,0.864265,0.143069,0.00682829,7.1900,48.50,59.00,63.00,-1.00
0.011605,0.223180,0.590903,0.168355,0.00579356,6.3100,44.00,53.00,60.00,-1.00
0.014919,0.314857,0.439720,0.178226,0.00577034,3.5600,42.50,52.00,58.00,-1.00
0.008016,0.207340,0.773171,0.154183,0.01011679,8.1800,47.00,56.00,63.00,-1.00
0.012266,0.431026,0.886269,0.155518,0.00669979,5.5300,45.50,56.00,61.50,-1.00
0.013477,0.367720,0.942421,0.225847,0.00615189,7.2500,43.00,52.00,57.00,-1.00
0.015594,0.421073,0.632576,0.145462,0.00806937,4.4500,47.00,56.00,63.50,-1.00
0.012521,0.429348,1.113503,0.172940,0.00703506,4.0500,45.00,53.00,57.00,-1.00
0.012982,0.204125,0.637250,0.230170,0.00614709,1.6800,42.00,50.00,54.00,-1.00
0.015975,0.230694,0.911026,0.184342,0.00620159,4.7800,43.50,53.00,58.50,-1.00
0.009925,0.310355,0.713133,0.218280,0.00610170,7.9000,47.50,54.00,57.00,-1.00
0.014455,0.291513,0.758532,0.190421,0.00484954,6.9700,47.00,57.00,61.00,-1.00
0.011603,0.314014,0.923830,0.208136,0.00524482,7.4800,46.00,53.00,58.00,-1.00
0.013482,0.319415,0.611399,0.199983,0.00481738,4.3900,47.00,54.00,60.00,-1.00
0.013303,0.443278,0.683760,0.201632,0.00616014,5.3500,44.00,52.00,57.00,-1.00
0.014003,0.169655,0.384840,0.236987,0.00844529,1.9600,47.50,56.00,57.00,-1.00
0.015900,0.422711,1.158755,0.159295,0.00910966,4.9200,44.50,54.00,59.00,-1.00
0.011492,0.201110,0.441664,0.209099,0.00619559,7.8400,48.00,56.00,60.00,-1.00
0.015793,0.228313,0.437991,0.180343,0.00672709,8.0800,47.00,55.00,61.00,-1.00
0.014381,0.365815,0.438759,0.159194,0.00645855,7.6500,49.00,59.00,62.00,-1.00
0.011673,0.204873,0.678947,0.204330,0.00542220,8.0800,48.00,56.00,59.00,-1.00
0.014122,0.357741,0.680635,0.211862,0.00526743,4.4100,45.00,53.00,58.00,-1.00
0.010740,0.281627,0.616714,0.189260,0.00522503,8.4100,49.00,56.50,60.00,-1.00
0.009895,0.286538,0.747165,0.207632,0.00575606,3.4100,47.00,53.50,57.50,-1.00
0.013405,0.430744,0.550738,0.228899,0.00742402,2.9000,48.00,52.00,56.00,-1.00
0.013706,0.417239,0.496121,0.160635,0.00658881,7.2400,47.50,56.50,62.50,-1.00
0.014743,0.439794,1.067597,0.193557,0.00721977,7.7100,48.00,54.00,57.00,-1.00
0.013741,0.340745,0.989592,0.194829,0.00520589,6.7200,44.00,53.50,58.00,-1.00
0.014680,0.301911,0.881359,0.198531,0.00506974,4.2600,46.50,53.00,58.00,-1.00
0.012324,0.411971,0.748615,0.176782,0.00553467,8.2800,44.00,52.50,59.00,-1.00
0.015604,0.428587,0.587926,0.220155,0.00756920,4.5900,44.00,52.50,58.00,-1.00
0.012402,0.275335,0.652064,0.221126,0.00523664,7.5700,49.00,55.00,60.00,-1.00
0.009510,0.268909,0.645071,0.161068,0.00677213,8.7200,46.00,54.00,59.00,-1.00
0.015351,0.362093,1.095001,0.152671,0.00754781,7.2400,48.50,60.00,61.00,-1.00
0.014593,0.251082,1.174711,0.186424,0.00648555,3.5400,42.00,52.50,57.50,-1.00
0.016868,0.282091,0.661222,0.227325,0.00738297,7.1700,46.00,52.00,57.00,-1.00
0.010437,0.390165,0.931666,0.132793,0.00879251,6.2100,45.00,57.00,62.00,-1.00
0.014068,0.192525,0.491761,0.232816,0.00706543,3.9800,45.00,54.00,57.50,-1.00
0.012130,0.400420,0.919895,0.159788,0.00611124,5.6400,47.00,56.00,62.00,-1.00
0.014187,0.448003,1.154982,0.124786,0.01250868,7.7100,47.00,57.00,62.50,-1.00
0.010978,0.357372,0.694712,0.178031,0.00532427,8.4800,49.00,54.00,58.50,-1.00
0.012393,0.269568,0.486401,0.223287,0.00570484,8.7000,46.00,53.00,56.50,-1.00
0.012200,0.205875,0.401555,0.232457,0.00711557,5.8600,44.00,51.00,55.50,-1.00
0.010459,0.267802,0.587358,0.136727,0.00808856,8.7000,48.00,57.50,63.00,-1.00
0.011957,0.294945,0.957912,0.175104,0.00521152,4.7700,48.00,56.00,60.50,-1.00
0.009933,0.326133,1.150615,0.186762,0.00705164,7.5900,46.00,54.00,58.50,-1.00
0.016399,0.231324,0.414947,0.237822,0.00904039,8.2100,47.00,51.00,56.50,-1.00
0.009123,0.158389,0.288431,0.238207,0.01219324,2.9300,46.00,51.00,54.50,-1.00
0.013549,0.287151,0.553874,0.196043,0.00489145,7.5700,44.00,51.50,56.50,-1.00
0.015472,0.358488,0.581460,0.194232,0.00563508,3.3800,42.00,51.00,56.00,-1.00
0.016629,0.391321,0.502225,0.200207,0.00724247,8.6500,46.00,53.00,58.50,-1.00
0.011814,0.314048,0.826501,0.171984,0.00503857,4.5400,48.50,57.50,58.50,-1.00
0.014729,0.310197,0.549363,0.214876,0.00550798,3.4000,46.00,54.00,58.00,-1.00
0.011907,0.421919,0.652021,0.165416,0.00610762,6.5600,45.00,55.00,60.50,-1.00
0.015930,0.374496,0.673500,0.186645,0.00590254,5.7900,48.50,52.00,55.00,-1.00
0.013740,0.207115,0.213617,0.196697,0.00747112,5.6200,43.00,52.00,57.00,-1.00
0.011106,0.217383,0.338700,0.238848,0.00826819,1.5400,43.00,52.00,55.50,-1.00
0.009492,0.259175,1.007767,0.167546,0.00711070,6.7100,44.00,54.00,60.00,-1.00
0.012794,0.412899,0.456708,0.196077,0.00607705,5.0900,48.00,56.00,60.50,-1.00
0.013380,0.442039,0.526953,0.165862,0.00669342,6.5100,46.00,56.50,63.00,-1.00
0.011317,0.319384,1.177289,0.174429,0.00654059,6.3100,47.50,55.50,60.50,-1.00
0.011040,0.342761,0.991810,0.168201,0.00587214,6.5100,49.00,60.00,64.00,-1.00
0.016825,0.304703,1.125713,0.217158,0.00819753,6.9000,42.00,49.00,54.50,-1.00
0.014876,0.350967,0.968931,0.237063,0.00727331,3.9900,44.00,52.00,55.00,-1.00
0.014633,0.287136,0.896015,0.180412,0.00515168,5.9300,45.50,55.50,61.00,-1.00
0.014425,0.342739,1.090792,0.217013,0.00636198,5.5100,47.00,54.00,57.00,-1.00
0.013154,0.413847,0.573437,0.139716,0.00753081,8.8300,46.00,58.00,62.50,-1.00
0.011676,0.295474,1.100941,0.196831,0.00573617,3.9800,46.00,55.00,59.00,-1.00
0.014829,0.388313,1.190992,0.176008,0.00723691,8.6400,45.00,54.50,60.50,-1.00
0.015077,0.330380,0.883674,0.212962,0.00558194,4.4000,43.00,50.00,55.00,-1.00
0.010072,0.366672,0.494118,0.214510,0.00676696,5.8700,45.00,54.00,58.00,-1.00
0.011966,0.342574,0.463528,0.148885,0.00665062,3.9600,46.50,55.00,62.00,-1.00
0.014855,0.200964,0.298110,0.204591,0.00731479,5.9500,44.00,54.00,59.00,-1.00
0.015932,0.440852,0.594897,0.204810,0.00742928,3.6300,43.00,52.00,57.00,-1.00
0.011060,0.274079,0.778218,0.193173,0.00502623,6.1500,48.00,56.50,62.00,-1.00
0.013872,0.321626,0.704833,0.156153,0.00552633,8.6200,44.50,55.00,58.00,-1.00
0.014469,0.289146,1.128438,0.191984,0.00591706,3.1700,43.00,52.50,58.00,-1.00
0.010758,0.196636,0.351704,0.220165,0.00745927,4.9600,44.00,51.00,56.00,-1.00
0.009435,0.430965,0.864342,0.176310,0.00760420,8.6100,50.00,59.00,66.00,-1.00
0.010125,0.195025,0.717909,0.172220,0.00661617,6.0300,45.00,53.50,58.50,-1.00
0.012450,0.295610,0.724559,0.182627,0.00471139,3.8300,46.00,56.00,62.00,-1.00
0.011383,0.362611,0.732957,0.152520,0.00603670,7.9600,49.00,59.00,65.00,-1.00
0.011330,0.446233,1.130802,0.154002,0.00880273,2.2300,44.50,54.00,60.00,-1.00
