brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.011759,0.190208,0.466999,0.210541,0.00611102,8.4700,49.50,57.00,60.50,-1.00
0.013003,0.314566,0.859331,0.168473,0.00501267,10.3600,44.00,52.00,58.00,-1.00
0.016389,0.430453,0.756264,0.188603,0.00759841,5.9000,42.00,54.00,57.00,-1.00
0.011713,0.179543,1.123478,0.216712,0.00718758,8.1600,47.50,54.00,59.00,-1.00
0.013941,0.387034,0.412589,0.191146,0.00630057,9.7500,45.00,52.00,57.50,-1.00
0.011659,0.402438,0.852929,0.196136,0.00568262,6.5500,46.00,54.00,59.00,-1.00
0.009348,0.298081,1.109231,0.117691,0.01253427,9.7000,48.50,56.00,65.00,-1.00
0.015144,0.354138,0.706254,0.191899,0.00545092,8.4400,48.50,57.00,61.00,-1.00
0.012204,0.284649,0.978726,0.224444,0.00560794,8.5500,50.00,51.50,55.50,-1.00
0.010957,0.421950,0.521740,0.191071,0.00671820,4.5100,48.00,57.00,61.00,-1.00
0.013586,0.202979,0.909390,0.224304,0.00596762,2.7000,48.00,56.00,61.00,-1.00
0.014617,0.252334,0.268037,0.200505,0.00706618,7.8300,48.00,56.00,61.00,-1.00
0.013041,0.255162,0.843357,0.207770,0.00489625,4.5900,49.00,56.50,57.50,-1.00
0.014373,0.439675,0.789634,0.147637,0.00757897,9.0200,41.00,53.00,59.50,-1.00
0.011140,0.379891,0.787725,0.167966,0.00567547,6.1500,48.00,54.50,60.50,-1.00
0.012025,0.227361,0.926896,0.208331,0.00528651,8.0800,49.00,53.00,57.00,-1.00
0.009027,0.155947,0.597515,0.212853,0.00798909,9.2000,46.50,54.00,59.50,-1.00
0.015249,0.421897,0.523634,0.209019,0.00736735,9.9000,44.00,52.50,58.00,-1.00
0.010927,0.268464,0.675093,0.199005,0.00501730,9.3700,47.50,56.50,62.00,-1.00
0.013639,0.333959,1.078557,0.205377,0.00567577,4.4100,48.00,55.50,61.00,-1.00
0.008986,0.310277,0.931308,0.179669,0.00656340,4.9200,48.00,57.00,64.00,-1.00
0.014217,0.347663,1.070471,0.201641,0.00580928,8.8600,45.00,53.00,59.00,-1.00
0.010676,0.157538,0.374479,0.222708,0.00812556,5.4300,47.00,53.00,58.00,-1.00
0.012289,0.300253,0.403615,0.193544,0.00548543,5.8800,48.50,55.00,60.00,-1.00
0.012767,0.447815,0.570839,0.173528,0.00679061,8.0900,44.00,55.50,60.00,-1.00
0.011292,0.222574,0.979256,0.181288,0.00565691,9.4400,50.00,59.50,64.00,-1.00
0.012954,0.265248,0.817160,0.213872,0.00493426,10.5600,46.00,53.50,58.00,-1.00
0.015734,0.410641,1.155227,0.164958,0.00848077,9.0300,42.00,51.00,58.50,-1.00
0.016738,0.300090,0.415783,0.219494,0.00818113,7.7500,43.00,52.00,55.50,-1.00
0.013833,0.223030,0.820347,0.176290,0.00532854,3.5400,44.00,54.00,60.00,-1.00
0.012865,0.419107,0.916869,0.152702,0.00671189,10.2700,45.50,55.00,61.00,-1.00
0.012415,0.221089,1.033825,0.222419,0.00606879,6.2900,44.00,51.50,56.00,-1.00
0.016728,0.155856,0.615249,0.174383,0.00922131,9.3600,45.00,55.00,60.00,-1.00
0.014372,0.194768,1.136625,0.222830,0.00751224,9.7900,46.00,54.00,59.00,-1.00
0.015268,0.360910,1.063398,0.178157,0.00636657,9.1000,49.50,54.50,59.00,-1.00
0.014912,0.351074,0.354626,0.149276,0.00794333,2.1700,43.50,54.50,61.00,-1.00
0.011033,0.294066,0.536370,0.194780,0.00521504,9.6000,47.00,54.50,61.00,-1.00
0.013127,0.230876,0.235475,0.163606,0.00778608,5.3100,47.50,56.00,62.00,-1.00
0.012953,0.314487,0.399392,0.214076,0.00584365,5.5900,42.50,52.00,56.50,-1.00
0.010512,0.240238,1.018441,0.166850,0.00633492,10.2400,48.50,56.00,58.00,-1.00
0.010496,0.424618,1.183367,0.161927,0.00897877,3.6200,44.50,56.00,62.50,-1.00
0.010910,0.289501,0.503364,0.201336,0.00541143,7.8900,48.00,55.00,60.00,-1.00
0.011210,0.335277,1.145122,0.231566,0.00745762,10.4500,46.00,52.50,55.50,-1.00
0.012517,0.218431,0.613906,0.221654,0.00549429,9.5900,49.00,55.00,60.00,-1.00
0.011479,0.272082,1.043987,0.173432,0.00565277,9.2600,48.50,57.00,62.00,-1.00
0.015498,0.409054,0.703059,0.197510,0.00644567,2.9300,46.00,55.00,60.00,-1.00
0.013089,0.195865,0.570241,0.231818,0.00629422,8.0000,47.00,53.00,57.00,-1.00
0.015098,0.308549,0.779960,0.197069,0.00520974,10.2800,48.00,56.50,59.00,-1.00
0.012178,0.266877,0.472056,0.216071,0.00550375,6.4400,43.00,51.00,56.00,-1.00
0.012874,0.324173,0.983323,0.192507,0.00504626,10.8000,48.00,56.00,62.00,-1.00
0.016073,0.428605,0.645442,0.164214,0.00784288,10.0800,48.00,57.00,59.50,-1.00
0.010797,0.205598,0.410452,0.208843,0.00647225,7.6800,47.50,52.50,57.00,-1.00
0.011215,0.271014,0.308204,0.216022,0.00671862,10.6500,49.00,58.00,61.00,-1.00
0.016316,0.202154,0.239464,0.213141,0.01006930,9.5200,47.50,53.50,57.50,-1.00
0.010077,0.419006,0.703050,0.129726,0.00957899,7.3800,47.00,58.50,64.00,-1.00
0.012233,0.269742,0.541885,0.216579,0.00525747,10.2400,50.00,54.50,58.00,-1.00
0.012363,0.212952,0.665993,0.206577,0.00515448,4.4500,47.00,52.00,57.50,-1.00
0.016999,0.252879,0.924067,0.184150,0.00724954,4.7800,48.00,56.50,62.50,-1.00
0.016820,0.301012,0.710130,0.208150,0.00670218,6.7200,46.00,52.00,56.00,-1.00
0.009290,0.219038,0.892187,0.185179,0.00648206,6.2700,46.00,54.00,59.00,-1.00
0.014408,0.427124,1.140418,0.163194,0.00790033,9.8400,46.00,55.00,60.00,-1.00
0.011706,0.255704,0.636599,0.219823,0.00525222,10.2100,46.50,55.00,57.00,-1.00
0.009328,0.189865,0.499311,0.225318,0.00779946,7.3100,48.50,55.00,60.00,-1.00
0.012932,0.334474,1.109299,0.204904,0.00576753,4.4500,44.00,51.00,56.00,-1.00
0.009544,0.151018,0.348359,0.213215,0.00913768,10.6300,47.00,55.50,61.50,-1.00
0.011772,0.431588,1.106791,0.157062,0.00793743,4.9200,43.50,52.00,58.50,-1.00
0.015278,0.390416,0.589400,0.167666,0.00646580,9.4300,46.00,56.00,60.50,-1.00
0.009895,0.169476,0.847651,0.192541,0.00665771,6.8200,47.50,56.00,61.00,-1.00
0.013774,0.169075,1.120425,0.190027,0.00718143,8.8600,46.00,53.50,58.00,-1.00
0.015272,0.313557,1.092472,0.213073,0.00648721,8.6100,43.00,51.00,56.00,-1.00
0.010038,0.389993,0.477718,0.153077,0.00778676,8.9800,44.00,54.50,60.00,-1.00
0.012725,0.175011,0.511674,0.226906,0.00659075,10.7700,46.00,52.50,56.50,-1.00
0.014439,0.152349,1.049737,0.159602,0.00863260,5.1400,46.50,55.00,60.50,-1.00
0.011588,0.290068,0.869112,0.187391,0.00486241,6.8600,47.00,54.50,60.00,-1.00
0.015018,0.281717,0.330836,0.202485,0.00666987,1.9600,44.00,51.00,56.00,-1.00
0.013144,0.433921,0.937452,0.199735,0.00636323,3.4900,44.00,52.00,57.00,-1.00
0.014233,0.203722,0.597572,0.234260,0.00654937,6.8700,46.00,53.50,58.00,-1.00
0.015539,0.376874,0.549718,0.183765,0.00629647,8.5500,46.00,52.00,58.00,-1.00
0.012158,0.347290,1.165042,0.178711,0.00621438,4.9600,47.00,53.00,56.50,-1.00
0.012501,0.251837,0.676420,0.158480,0.00545763,9.0200,47.00,55.00,59.00,-1.00
0.015169,0.379976,1.004823,0.158286,0.00683004,10.3600,48.00,59.00,66.00,-1.00
0.014414,0.217137,0.304408,0.226179,0.00771808,2.1700,46.50,55.00,59.50,-1.00
0.015688,0.337331,1.099710,0.177045,0.00670930,5.1200,43.50,54.00,60.00,-1.00
0.011258,0.230353,0.590852,0.206080,0.00529900,10.9600,49.00,57.00,61.00,-1.00
0.013817,0.233369,0.626761,0.173390,0.00534759,8.9600,48.00,55.50,58.50,-1.00
