brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.013688,0.408357,0.522244,0.168375,0.00666667,4.5600,45.00,53.00,60.00,-1.00
0.011895,0.271643,0.560393,0.194014,0.00666667,13.5700,49.00,57.00,62.00,-1.00
0.012271,0.303786,0.813925,0.160121,0.00666667,11.2700,49.00,59.00,64.50,-1.00
0.011895,0.203931,0.361068,0.178042,0.00666667,14.5800,44.00,53.00,59.00,-1.00
0.010828,0.409314,0.409817,0.166657,0.00666667,8.8500,47.00,56.00,61.50,-1.00
0.014158,0.347065,0.465656,0.161405,0.00666667,0.2100,44.50,55.00,61.00,-1.00
0.016237,0.213926,0.455735,0.204311,0.00666667,15.0500,42.00,50.50,54.50,-1.00
0.015256,0.190333,0.940831,0.194551,0.00666667,13.9000,50.00,55.00,60.00,-1.00
0.009799,0.324409,1.106578,0.178486,0.00666667,14.7400,52.00,57.00,61.00,-1.00
0.013673,0.238810,0.706245,0.187784,0.00666667,9.9900,45.00,54.00,60.00,-1.00
0.011918,0.332659,1.081914,0.126923,0.00666667,16.9800,50.00,62.00,67.00,-1.00
0.009553,0.340325,0.570947,0.216995,0.00666667,14.6900,50.00,57.00,61.00,-1.00
0.008263,0.288208,0.895005,0.176958,0.00666667,16.3700,47.50,55.50,60.00,-1.00
0.013959,0.353337,0.654927,0.160435,0.00666667,3.6000,47.50,57.00,62.00,-1.00
0.013999,0.369913,0.433820,0.175494,0.00666667,19.1800,48.00,55.00,60.00,-1.00
0.013517,0.217782,0.442178,0.217232,0.00666667,9.2700,45.00,52.00,56.50,-1.00
0.015159,0.427426,0.709036,0.173918,0.00666667,13.6700,43.00,54.50,60.00,-1.00
0.012854,0.285986,0.557518,0.197258,0.00666667,14.4500,48.00,54.00,59.00,-1.00
0.016554,0.161913,0.685409,0.224792,0.00666667,13.8800,43.00,51.00,56.00,-1.00
0.014724,0.336024,1.101148,0.184403,0.00666667,12.9700,47.50,55.00,59.00,-1.00
0.012705,0.193668,0.259561,0.229163,0.00666667,15.4200,44.00,52.00,57.00,-1.00
0.008583,0.417391,0.511957,0.148474,0.00666667,6.7100,46.00,58.00,64.00,-1.00
0.012094,0.249838,1.179098,0.162052,0.00666667,10.2800,46.00,56.00,63.00,-1.00
0.011413,0.339940,0.914690,0.204758,0.00666667,18.5900,47.00,53.00,58.50,-1.00
0.013015,0.236938,0.400833,0.192592,0.00666667,5.0800,45.50,54.50,58.50,-1.00
0.014955,0.326894,0.894948,0.135035,0.00666667,13.0900,48.00,60.00,67.50,-1.00
0.016366,0.381157,0.592937,0.153185,0.00666667,5.0600,46.00,54.00,60.00,-1.00
0.013521,0.258328,0.755013,0.178095,0.00666667,3.4900,47.00,56.00,62.00,-1.00
0.012348,0.339759,0.511726,0.217692,0.00666667,19.2700,48.00,56.00,57.50,-1.00
0.011322,0.195006,0.196988,0.238567,0.00666667,15.1900,48.00,56.00,59.00,-1.00
0.010396,0.340797,1.079835,0.183053,0.00666667,13.8500,50.00,58.00,64.00,-1.00
0.008485,0.194267,1.193577,0.205618,0.00666667,14.4900,51.00,54.00,58.50,-1.00
0.011431,0.413817,0.574726,0.187833,0.00666667,7.2400,47.50,56.50,60.00,-1.00
0.012037,0.325971,0.986616,0.211511,0.00666667,10.7600,44.00,51.00,56.50,-1.00
0.010589,0.269501,0.649809,0.177775,0.00666667,16.5800,49.00,58.00,64.00,-1.00
0.008724,0.367015,1.027725,0.132891,0.00666667,10.4500,49.00,58.00,60.00,-1.00
0.012402,0.439242,0.967635,0.214299,0.00666667,13.0700,43.00,50.00,55.00,-1.00
0.008909,0.269447,1.194043,0.179679,0.00666667,17.6700,50.00,60.00,63.00,-1.00
0.011214,0.314790,0.434258,0.144347,0.00666667,15.4500,47.50,55.00,61.00,-1.00
0.013165,0.296852,0.428899,0.178213,0.00666667,4.9200,45.50,56.00,60.50,-1.00
0.012001,0.441236,0.830134,0.198379,0.00666667,3.1700,44.50,52.00,56.00,-1.00
0.011197,0.244705,1.012058,0.161592,0.00666667,12.9400,47.00,58.00,63.00,-1.00
0.016131,0.241374,0.678255,0.151705,0.00666667,6.9100,46.00,57.00,63.00,-1.00
0.011833,0.335873,0.922160,0.211201,0.00666667,5.9700,45.00,53.00,58.00,-1.00
0.014191,0.419336,0.650417,0.162760,0.00666667,10.3600,48.00,56.00,61.50,-1.00
0.011005,0.301324,0.613829,0.190499,0.00666667,11.8300,47.00,55.00,60.00,-1.00
0.012999,0.371629,0.463832,0.133667,0.00666667,14.0700,48.00,60.00,66.00,-1.00
0.015558,0.378965,0.840402,0.219913,0.00666667,17.1400,51.00,58.00,62.50,-1.00
0.011443,0.408946,0.567511,0.180687,0.00666667,16.4400,48.00,56.00,61.00,-1.00
0.011868,0.246014,0.702158,0.176562,0.00666667,16.7500,50.00,58.00,64.00,-1.00
0.010076,0.383890,0.634883,0.180910,0.00666667,18.6200,47.00,56.00,61.00,-1.00
0.010674,0.302650,1.080837,0.168979,0.00666667,12.8600,48.00,59.00,62.00,-1.00
0.015274,0.300099,0.547731,0.217238,0.00666667,19.6500,45.00,54.00,57.00,-1.00
0.010377,0.271704,0.921097,0.218073,0.00666667,18.3400,47.00,56.00,58.00,-1.00
