brca1_rate,low_delta,high_delta,neoplastic_div_rate,tp53_rate,d1_threshold,d2_threshold,division_rate,tumor_threshold,distance,weight,onset_age,sat25,sat50,sat90
0.042472228660081345,0.1887724242559365,0.3220021073840245,0.13119370048208023,0.0026495518429113874,1.2563105904683958,6.709745319155957,0.0008698907333302587,0.055300821130004604,7.07,0.003995275018902285,42.0,51.0,58.0,-1.0
0.04781437469008491,0.09168416329310092,0.1555523121048539,0.19617921302016936,0.0033853228062886514,2.842200212805899,5.79113248040232,0.0007745761109124038,0.0706580357520801,26.2,0.007232461657662089,42.0,48.0,53.0,-1.0
0.03189731107977544,0.19686343268963702,0.36554393402449503,0.2083564412920062,0.0019521653709451373,2.21345970982605,6.879031150990064,0.0007785636487794591,0.058287842454094234,13.75,0.004564575775435398,40.0,47.0,52.0,-1.0
0.04645003121713102,0.11404230648087477,0.12918355156690842,0.18253494924102012,0.0033142816107862433,1.0907657842708935,5.409775393615348,0.0009295348826722354,0.06296292601943769,10.18,0.005179198593875251,43.0,49.0,55.0,-1.0
0.04233986683709016,0.17013285646958246,0.4559010389896459,0.17153408303382958,0.003160598233376991,1.0704190343777769,7.473748145155549,0.0011468149211696088,0.0345846967581266,19.77,0.005210916268610016,41.0,50.0,55.0,-1.0
0.04217082505645956,0.08019249647972024,0.17527197700133784,0.17356846800972012,0.0027876069668775227,1.7820864965964744,3.801750925300077,0.0007989988887182034,0.052858519292675016,13.47,0.004503126430686974,42.0,50.0,55.0,-1.0
0.04704966350172289,0.13513462150976,0.4708900802483189,0.16775243258819514,0.004229692545834534,1.9343113291292329,6.881275825771097,0.0009521284511843676,0.05445817393378516,9.17,0.004057277664138242,43.5,53.0,57.0,-1.0
0.04976078745596349,0.1907241444281643,0.5086449254192966,0.1400661612357612,0.0031028384690761582,1.4633378902530616,6.95611078649867,0.0006309427798520205,0.06915580544870192,15.95,0.0059435686399135585,41.0,49.0,54.0,-1.0
0.041490909045832976,0.1079616826042974,0.35304852345320376,0.11400052205523177,0.002581023238584688,1.8529898590274478,4.142675706578157,0.000998331585446406,0.05683800157170598,8.18,0.003155317327532999,45.0,54.0,61.0,-1.0
0.04835417060034292,0.13584000930136045,0.34652799695273834,0.1717983481589508,0.002943625235396981,2.1809864038405067,5.933650059809876,0.0013304326006253159,0.05278215420380901,10.82,0.0027555845355113698,42.0,51.0,56.0,-1.0
