seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
200295,35,52.63,48,56,-1
200296,44,51.11,55,59,-1
200297,-1,0.00,-1,-1,-1
200298,43,50.00,54,61,-1
200299,35,55.00,46,52,-1
200300,36,50.00,47,53,-1
200301,-1,0.00,-1,-1,-1
200302,34,50.00,43,50,-1
200303,-1,0.00,-1,-1,-1
200304,40,53.23,50,56,-1
200305,50,52.38,60,66,-1
200306,68,52.63,73,79,-1
200307,33,52.81,41,49,-1
200308,-1,0.00,-1,-1,-1
200309,28,52.59,39,44,-1
200310,38,52.17,47,55,-1
200311,-1,0.00,-1,-1,-1
200312,71,50.00,75,80,-1
200313,71,38.46,76,-1,-1
200314,36,51.32,47,51,-1
200315,-1,0.00,-1,-1,-1
200316,33,50.62,44,51,-1
200317,-1,0.00,-1,-1,-1
200318,33,52.50,41,48,-1
200319,-1,0.00,-1,-1,-1
200320,47,50.00,59,66,-1
200321,29,52.73,40,46,-1
200322,33,50.00,47,53,-1
200323,45,50.00,56,62,-1
200324,34,51.65,42,47,-1
200325,53,50.00,59,65,-1
200326,-1,0.00,-1,-1,-1
200327,43,50.00,53,58,-1
200328,33,51.28,43,49,-1
200329,54,50.00,70,74,-1
200330,-1,0.00,-1,-1,-1
200331,-1,0.00,-1,-1,-1
200332,48,51.16,56,61,-1
200333,57,52.00,63,68,-1
200334,-1,0.00,-1,-1,-1
200335,70,20.00,-1,-1,-1
200336,46,52.94,55,60,-1
200337,35,53.16,45,51,-1
200338,-1,0.00,-1,-1,-1
200339,-1,0.00,-1,-1,-1
200340,40,55.56,49,56,-1
200341,51,52.94,63,70,-1
200342,-1,0.00,-1,-1,-1
200343,61,52.94,71,79,-1
200344,-1,0.00,-1,-1,-1
200345,37,51.39,49,56,-1
200346,35,51.85,44,50,-1
200347,-1,0.00,-1,-1,-1
200348,36,51.16,52,61,-1
200349,-1,0.00,-1,-1,-1
200350,27,52.10,40,45,-1
200351,-1,0.00,-1,-1,-1
200352,34,53.09,46,52,-1
200353,-1,0.00,-1,-1,-1
200354,34,51.25,42,50,-1
200355,53,56.10,65,73,-1
200356,51,52.78,61,67,-1
200357,53,50.00,62,68,-1
200358,-1,0.00,-1,-1,-1
200359,-1,0.00,-1,-1,-1
200360,-1,0.00,-1,-1,-1
200361,47,53.97,53,58,-1
200362,30,50.00,41,47,-1
200363,-1,0.00,-1,-1,-1
200364,-1,0.00,-1,-1,-1
200365,38,50.00,49,55,-1
200366,40,50.98,51,57,-1
200367,-1,0.00,-1,-1,-1
200368,42,53.33,51,56,-1
200369,-1,0.00,-1,-1,-1
200370,-1,0.00,-1,-1,-1
200371,-1,0.00,-1,-1,-1
200372,32,53.41,43,50,-1
200373,69,45.00,77,-1,-1
200374,62,50.00,70,78,-1
200375,39,56.10,50,55,-1
200376,60,37.50,78,-1,-1
200377,-1,0.00,-1,-1,-1
200378,-1,0.00,-1,-1,-1
200379,-1,0.00,-1,-1,-1
200380,53,51.72,64,69,-1
200381,38,51.22,46,50,-1
200382,41,50.00,54,60,-1
200383,40,53.70,54,61,-1
200384,-1,0.00,-1,-1,-1
200385,39,51.52,49,54,-1
200386,45,53.66,54,60,-1
200387,-1,0.00,-1,-1,-1
200388,-1,0.00,-1,-1,-1
200389,-1,0.00,-1,-1,-1
200390,-1,0.00,-1,-1,-1
200391,-1,0.00,-1,-1,-1
200392,50,54.17,54,58,-1
200393,35,52.27,44,50,-1
200394,43,50.75,53,59,-1
200395,-1,0.00,-1,-1,-1
200396,-1,0.00,-1,-1,-1
200397,68,20.00,-1,-1,-1
200398,-1,0.00,-1,-1,-1
200399,38,53.73,46,52,-1
200400,35,50.00,47,54,-1
200401,-1,0.00,-1,-1,-1
200402,42,51.92,52,58,-1
200403,45,53.06,58,64,-1
200404,38,53.47,45,51,-1
200405,33,50.00,42,48,-1
200406,45,55.10,55,61,-1
200407,40,51.02,52,61,-1
200408,60,50.00,72,76,-1
200409,43,52.17,53,60,-1
200410,50,53.12,57,63,-1
200411,-1,0.00,-1,-1,-1
200412,24,55.74,36,44,-1
200413,-1,0.00,-1,-1,-1
200414,35,55.17,45,50,-1
200415,-1,0.00,-1,-1,-1
200416,-1,0.00,-1,-1,-1
