seed,onset_year,final_neoplastic_pct,year_25pct,year_50pct,year_90pct
100447,-1,0.00,-1,-1,-1
100448,43,50.00,53,58,-1
100449,-1,0.00,-1,-1,-1
100450,51,52.50,66,71,-1
100451,-1,0.00,-1,-1,-1
100452,37,50.44,44,49,-1
100453,56,54.76,63,67,-1
100454,46,50.00,55,61,-1
100455,40,50.62,50,53,-1
100456,-1,0.00,-1,-1,-1
100457,42,51.52,50,56,-1
100458,43,50.77,51,56,-1
100459,47,50.91,54,59,-1
100460,-1,0.00,-1,-1,-1
100461,-1,0.00,-1,-1,-1
100462,44,51.90,52,57,-1
100463,39,52.13,49,55,-1
100464,52,50.00,59,63,-1
100465,-1,0.00,-1,-1,-1
100466,48,51.72,55,60,-1
100467,-1,0.00,-1,-1,-1
100468,-1,0.00,-1,-1,-1
100469,32,50.76,41,45,-1
100470,49,50.75,58,63,-1
100471,32,51.96,41,46,-1
100472,40,51.81,48,53,-1
100473,50,52.11,59,66,-1
100474,48,50.82,56,61,-1
100475,42,52.46,51,57,-1
100476,-1,0.00,-1,-1,-1
100477,35,50.79,42,47,-1
100478,43,51.22,53,59,-1
100479,53,54.72,65,71,-1
100480,39,53.04,46,51,-1
100481,56,52.94,66,74,-1
100482,-1,0.00,-1,-1,-1
100483,-1,0.00,-1,-1,-1
100484,-1,0.00,-1,-1,-1
100485,53,51.11,61,66,-1
100486,39,50.50,46,51,-1
100487,62,53.85,73,77,-1
100488,31,56.59,38,43,-1
100489,-1,0.00,-1,-1,-1
100490,-1,0.00,-1,-1,-1
100491,48,50.00,60,63,-1
100492,37,51.35,48,54,-1
100493,42,50.00,48,53,-1
100494,-1,0.00,-1,-1,-1
100495,34,50.93,45,51,-1
100496,51,50.00,60,66,-1
100497,39,51.02,46,51,-1
100498,45,53.73,53,58,-1
100499,46,50.00,53,59,-1
100500,45,52.63,53,58,-1
100501,42,51.47,51,55,-1
100502,-1,0.00,-1,-1,-1
100503,30,56.18,38,44,-1
100504,53,52.83,58,62,-1
100505,-1,0.00,-1,-1,-1
100506,-1,0.00,-1,-1,-1
100507,43,51.26,49,54,-1
100508,44,54.79,54,59,-1
100509,39,51.56,48,52,-1
100510,49,58.82,58,63,-1
100511,-1,0.00,-1,-1,-1
100512,-1,0.00,-1,-1,-1
