generation,epsilon,attempts,prior_reject,sim_fail,accepted,acceptance_rate,ess,ess_ratio,rhat,max_weight,weighted_sse_mean,weighted_sse_min
0,20.0,11521,0,0,200,0.017359604201024215,199.99999999999997,0.9999999999999999,nan,0.005,13.5013,1.94
1,15.427999999999999,18923,13735,0,200,0.010569148655075834,193.01836781745519,0.9650918390872759,nan,0.00853322494970009,9.9794,1.17
2,11.613999999999999,30297,22164,0,200,0.006601313661418622,188.30398004442083,0.9415199002221041,nan,0.01228071996929551,7.31395,1.08
3,8.192,53295,37941,0,200,0.0037526972511492634,192.0145372431476,0.960072686215738,nan,0.009171641910311223,5.53615,0.57
4,6.2,87253,64472,0,200,0.0022921847959382485,183.37319134848656,0.9168659567424328,nan,0.013550901406000078,4.451849999999999,0.92
