brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.050358,0.108989,0.138802,0.210484,0.00590829,8.9300,43.00,49.00,53.00,-1.00
0.041449,0.113905,0.250387,0.165276,0.00428909,7.2400,41.00,51.50,57.00,-1.00
0.047541,0.098390,0.240933,0.183085,0.00417220,8.6400,43.00,52.00,56.50,-1.00
0.046035,0.111805,0.306658,0.122374,0.00399710,6.2800,44.00,55.00,59.00,-1.00
0.043875,0.102771,0.433996,0.211898,0.00428602,5.7700,42.50,48.50,53.00,-1.00
0.043831,0.105087,0.417885,0.193687,0.00390761,4.6500,43.50,52.00,56.50,-1.00
0.044384,0.096287,0.306073,0.169483,0.00384421,5.4100,42.00,53.00,58.00,-1.00
0.044998,0.118814,0.533076,0.107943,0.00508514,7.1100,45.50,55.00,61.50,-1.00
0.050709,0.104884,0.350505,0.157915,0.00417169,9.7500,41.00,49.00,55.00,-1.00
0.045625,0.102875,0.482806,0.193187,0.00407333,10.1100,43.50,50.00,54.50,-1.00
0.042238,0.092896,0.590519,0.155957,0.00506038,5.3700,46.00,54.00,57.50,-1.00
0.039783,0.101872,0.285835,0.206406,0.00492110,7.1100,41.50,51.00,56.00,-1.00
0.049132,0.107646,0.433131,0.186537,0.00412652,9.7800,43.00,51.50,58.00,-1.00
0.044563,0.086611,0.503086,0.161630,0.00451772,3.4900,46.00,54.00,59.00,-1.00
0.047483,0.163755,0.353792,0.102875,0.01228072,5.4300,44.00,52.50,59.00,-1.00
0.038179,0.095423,0.248449,0.231202,0.00679976,4.2600,44.00,51.00,54.50,-1.00
0.044073,0.083096,0.372085,0.204963,0.00480378,10.5500,44.00,51.00,55.00,-1.00
0.033328,0.100872,0.520399,0.105556,0.01113328,11.5000,44.00,59.00,65.00,-1.00
0.045049,0.118567,0.422320,0.140470,0.00393149,10.9700,45.50,53.00,58.00,-1.00
0.046461,0.119613,0.143541,0.133928,0.00486000,7.5400,43.00,53.50,58.00,-1.00
0.042255,0.085532,0.495410,0.208689,0.00515634,6.4500,47.50,54.00,58.00,-1.00
0.044641,0.107268,0.567158,0.150180,0.00441832,6.1200,42.00,51.00,57.00,-1.00
0.051999,0.121311,0.576279,0.110685,0.00671697,7.2500,42.00,53.00,59.00,-1.00
0.041451,0.105976,0.376960,0.172348,0.00394940,6.8600,42.00,50.00,56.00,-1.00
0.050326,0.103202,0.196928,0.154773,0.00466799,5.3600,42.00,50.00,56.00,-1.00
0.047920,0.094821,0.536439,0.185249,0.00462690,8.5900,42.00,49.50,53.50,-1.00
0.038116,0.103952,0.416373,0.128702,0.00529472,10.0400,44.00,52.00,58.50,-1.00
0.048867,0.105294,0.518568,0.182692,0.00443456,11.3600,40.50,49.00,56.00,-1.00
0.041876,0.106762,0.246504,0.217783,0.00491621,11.3200,45.00,50.00,54.00,-1.00
0.055815,0.133143,0.213092,0.100302,0.00949520,9.3700,43.00,55.50,60.00,-1.00
0.047922,0.119611,0.281313,0.169833,0.00402398,9.2800,42.00,51.50,56.00,-1.00
0.053348,0.109362,0.319315,0.126119,0.00530713,8.1600,42.00,52.00,58.00,-1.00
