brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.047301,0.131011,0.442335,0.141784,0.00500000,15.0500,42.00,51.00,56.00,-1.00
0.055799,0.103731,0.566433,0.172666,0.00500000,18.2300,41.00,49.00,54.00,-1.00
0.045532,0.141889,0.146743,0.129356,0.00500000,4.9800,42.50,51.00,57.50,-1.00
0.042804,0.126540,0.457169,0.106056,0.00500000,6.6900,43.00,57.00,64.00,-1.00
0.045864,0.096238,0.592407,0.144877,0.00500000,6.1000,42.00,51.00,57.00,-1.00
0.042422,0.091697,0.266759,0.137088,0.00500000,19.4000,48.00,57.00,64.00,-1.00
0.035440,0.083033,0.418716,0.172013,0.00500000,19.8000,47.50,55.00,60.50,-1.00
0.047163,0.117980,0.215969,0.122497,0.00500000,15.7600,46.00,59.00,61.00,-1.00
0.039585,0.102419,0.589722,0.228225,0.00500000,4.4500,41.00,48.00,53.00,-1.00
0.044741,0.112891,0.366023,0.160167,0.00500000,9.6600,41.50,52.00,57.50,-1.00
0.044745,0.100212,0.382064,0.165498,0.00500000,9.7300,41.00,51.00,55.00,-1.00
0.042411,0.109686,0.522044,0.121609,0.00500000,13.8800,44.50,56.00,62.00,-1.00
0.044651,0.111091,0.378469,0.188451,0.00500000,7.6800,45.00,52.00,56.50,-1.00
0.049554,0.104528,0.427362,0.119394,0.00500000,11.3000,45.50,57.50,63.50,-1.00
0.048194,0.123687,0.202247,0.105912,0.00500000,5.6400,41.00,51.00,59.00,-1.00
0.043439,0.101842,0.383482,0.142585,0.00500000,19.1200,48.00,58.00,62.50,-1.00
0.045848,0.122597,0.123467,0.127742,0.00500000,10.4100,43.50,54.00,59.00,-1.00
0.044654,0.110658,0.293615,0.106375,0.00500000,16.1200,46.00,56.00,63.50,-1.00
0.044091,0.090606,0.520624,0.174981,0.00500000,15.3400,41.00,49.00,54.00,-1.00
0.048432,0.128282,0.138336,0.110419,0.00500000,13.4200,41.00,53.50,60.50,-1.00
0.044266,0.102614,0.216786,0.195614,0.00500000,10.7900,43.00,50.00,54.00,-1.00
0.040471,0.094131,0.485201,0.176940,0.00500000,9.4500,45.00,54.00,59.00,-1.00
0.041249,0.102814,0.246453,0.191881,0.00500000,9.8400,43.00,53.00,58.00,-1.00
0.041530,0.083840,0.388055,0.235945,0.00500000,14.9300,47.00,53.00,58.00,-1.00
0.047845,0.102907,0.478841,0.184024,0.00500000,15.3400,41.00,50.00,55.00,-1.00
0.039461,0.100250,0.287692,0.105085,0.00500000,19.0500,44.50,55.50,63.00,-1.00
0.057165,0.134590,0.250710,0.127287,0.00500000,17.7000,42.00,51.00,57.00,-1.00
0.049268,0.084315,0.429400,0.215634,0.00500000,13.0000,43.00,49.00,54.00,-1.00
0.045056,0.101501,0.190174,0.229431,0.00500000,15.7800,44.00,49.50,52.50,-1.00
0.048171,0.106073,0.590118,0.160178,0.00500000,13.1000,42.50,51.00,55.00,-1.00
0.046689,0.094066,0.224844,0.226294,0.00500000,13.1100,44.00,52.00,56.00,-1.00
0.047560,0.127793,0.423839,0.116075,0.00500000,19.0100,43.50,54.50,61.00,-1.00
0.035428,0.105829,0.278557,0.221213,0.00500000,19.6300,42.00,49.50,54.00,-1.00
0.050346,0.107826,0.240863,0.114787,0.00500000,5.6200,44.00,52.50,59.00,-1.00
0.048080,0.102837,0.217936,0.194954,0.00500000,17.9200,40.00,49.00,52.00,-1.00
0.051205,0.146050,0.331754,0.121726,0.00500000,16.9100,40.00,51.00,56.00,-1.00
0.036465,0.115374,0.534043,0.117622,0.00500000,17.4900,44.00,54.00,60.00,-1.00
0.037964,0.087092,0.532151,0.201184,0.00500000,19.9600,44.00,52.00,55.50,-1.00
0.046260,0.094932,0.303620,0.177103,0.00500000,18.8100,42.50,51.00,54.00,-1.00
0.047462,0.101801,0.531738,0.111259,0.00500000,9.1500,43.00,56.00,60.00,-1.00
0.055953,0.108579,0.236981,0.149011,0.00500000,13.1100,42.00,51.00,56.00,-1.00
0.035217,0.075754,0.550529,0.211795,0.00500000,17.0300,43.00,51.00,55.50,-1.00
0.042524,0.155582,0.307887,0.106059,0.00500000,6.4500,46.50,57.00,63.00,-1.00
0.046651,0.142533,0.270410,0.108723,0.00500000,10.2700,44.00,53.00,60.00,-1.00
0.039631,0.115114,0.233510,0.125385,0.00500000,19.6100,41.50,52.00,60.00,-1.00
0.037901,0.081899,0.560976,0.208346,0.00500000,13.0200,48.00,55.00,59.00,-1.00
0.045010,0.108865,0.294795,0.135308,0.00500000,6.0700,43.00,53.00,58.50,-1.00
0.048120,0.119929,0.185472,0.108810,0.00500000,14.2600,44.00,56.00,61.00,-1.00
0.046332,0.141147,0.208719,0.107023,0.00500000,3.5400,45.00,59.00,61.00,-1.00
0.036963,0.106217,0.389584,0.120498,0.00500000,14.9900,48.00,57.50,59.50,-1.00
0.046042,0.089796,0.308896,0.213519,0.00500000,15.8900,40.00,48.00,53.00,-1.00
0.040954,0.087532,0.351592,0.237629,0.00500000,6.5700,41.00,49.00,53.00,-1.00
0.038848,0.088202,0.394221,0.209551,0.00500000,12.8800,48.50,56.50,61.00,-1.00
0.042879,0.112932,0.393078,0.145574,0.00500000,7.7600,44.00,53.00,58.00,-1.00
0.048687,0.098765,0.291691,0.225625,0.00500000,14.0600,43.00,50.00,53.50,-1.00
0.053643,0.117133,0.169829,0.100641,0.00500000,13.3000,44.00,54.00,61.00,-1.00
0.049831,0.111807,0.144128,0.159490,0.00500000,14.6900,44.00,53.00,58.50,-1.00
0.046448,0.107065,0.428978,0.170563,0.00500000,16.7300,41.00,51.00,56.00,-1.00
0.045371,0.082728,0.532049,0.188575,0.00500000,12.3200,45.00,53.00,59.00,-1.00
0.042809,0.108925,0.428484,0.172819,0.00500000,11.0900,45.00,51.00,57.50,-1.00
0.049763,0.113854,0.221892,0.171276,0.00500000,19.9200,39.00,49.00,54.00,-1.00
0.051644,0.107084,0.369081,0.115867,0.00500000,12.4500,42.00,53.00,59.00,-1.00
0.045322,0.099494,0.214752,0.155762,0.00500000,12.2300,45.50,54.00,55.50,-1.00
0.045722,0.117762,0.219867,0.100454,0.00500000,16.7400,43.00,54.50,62.00,-1.00
0.044628,0.102233,0.524547,0.175631,0.00500000,19.0900,45.00,54.00,59.00,-1.00
0.045087,0.106291,0.207239,0.182610,0.00500000,11.2900,42.00,51.00,56.00,-1.00
0.041818,0.098857,0.186026,0.223142,0.00500000,18.3200,47.50,55.50,58.00,-1.00
0.040751,0.080454,0.563059,0.239217,0.00500000,5.0800,42.50,48.50,52.00,-1.00
0.043603,0.116909,0.291983,0.178997,0.00500000,19.5500,42.00,52.00,56.00,-1.00
0.042516,0.080930,0.412778,0.179620,0.00500000,14.9600,45.00,54.00,59.00,-1.00
0.043194,0.103188,0.432805,0.158988,0.00500000,8.7500,43.00,52.00,56.00,-1.00
0.043081,0.100238,0.148606,0.130688,0.00500000,19.1700,44.00,55.00,59.00,-1.00
0.047878,0.103868,0.483316,0.183826,0.00500000,10.1100,41.00,48.00,52.50,-1.00
0.036397,0.073831,0.539186,0.193365,0.00500000,18.8200,48.50,56.00,60.00,-1.00
0.043029,0.106819,0.333920,0.195687,0.00500000,15.6200,41.00,49.00,53.00,-1.00
0.042319,0.097979,0.463121,0.208568,0.00500000,6.8500,42.00,50.00,55.00,-1.00
0.054463,0.143568,0.349215,0.120664,0.00500000,11.8300,40.00,50.00,55.00,-1.00
0.040418,0.092046,0.458703,0.203092,0.00500000,14.6900,41.50,50.00,55.00,-1.00
0.055559,0.111968,0.143560,0.180097,0.00500000,18.8700,41.00,47.50,52.50,-1.00
0.047315,0.113280,0.353702,0.117137,0.00500000,17.9000,41.00,52.00,59.00,-1.00
0.038150,0.088853,0.372414,0.207702,0.00500000,8.2200,45.00,54.00,59.00,-1.00
0.043260,0.090151,0.524090,0.206456,0.00500000,10.1800,41.00,47.50,53.00,-1.00
0.042477,0.114410,0.560455,0.135783,0.00500000,5.4100,44.00,57.00,62.00,-1.00
0.038800,0.098263,0.243247,0.183715,0.00500000,15.8600,45.00,52.00,56.00,-1.00
0.043404,0.101243,0.189123,0.115419,0.00500000,15.1700,42.00,53.00,60.50,-1.00
0.043766,0.124362,0.521133,0.123932,0.00500000,19.9100,44.00,55.00,61.00,-1.00
0.054467,0.158425,0.164870,0.104999,0.00500000,19.4300,43.00,54.50,61.00,-1.00
0.057215,0.130913,0.304883,0.129443,0.00500000,16.3200,39.50,51.00,56.00,-1.00
0.038134,0.103458,0.170165,0.187019,0.00500000,8.0300,45.00,53.00,57.00,-1.00
0.036853,0.102960,0.398928,0.211815,0.00500000,10.3000,45.00,52.50,56.00,-1.00
0.047196,0.113398,0.472021,0.230394,0.00500000,19.9600,40.50,48.00,51.50,-1.00
0.042282,0.104784,0.144024,0.202074,0.00500000,16.7300,43.00,51.00,55.50,-1.00
0.043591,0.094460,0.338702,0.231200,0.00500000,10.6900,46.00,51.00,57.00,-1.00
0.047616,0.107102,0.297956,0.203080,0.00500000,8.6200,42.00,50.00,54.00,-1.00
0.046450,0.093716,0.519661,0.203327,0.00500000,14.4800,42.00,50.00,55.00,-1.00
0.045817,0.107293,0.356937,0.104509,0.00500000,19.6100,44.50,58.50,65.00,-1.00
0.051428,0.127361,0.243285,0.113587,0.00500000,17.3900,44.00,52.50,58.00,-1.00
0.047285,0.136103,0.233927,0.111693,0.00500000,8.5600,42.50,54.50,60.00,-1.00
0.054298,0.115944,0.286908,0.202277,0.00500000,16.8400,43.50,51.00,55.00,-1.00
0.038372,0.092207,0.215397,0.215572,0.00500000,14.5600,45.50,52.00,56.00,-1.00
0.045031,0.098316,0.427991,0.161712,0.00500000,10.2100,43.00,52.00,57.00,-1.00
0.040901,0.097439,0.315317,0.160074,0.00500000,14.6700,42.00,51.00,57.00,-1.00
0.044266,0.108961,0.244463,0.205243,0.00500000,17.4900,43.00,51.00,55.00,-1.00
0.055567,0.119426,0.373012,0.188744,0.00500000,18.8100,39.00,47.00,52.00,-1.00
0.045438,0.117497,0.129883,0.127647,0.00500000,16.7100,45.00,54.50,60.00,-1.00
0.047604,0.106678,0.519411,0.133708,0.00500000,13.0200,42.50,53.50,59.50,-1.00
0.048228,0.101520,0.393999,0.226702,0.00500000,14.4900,42.00,48.50,52.00,-1.00
0.041232,0.110640,0.154800,0.152963,0.00500000,16.3800,46.00,55.00,59.00,-1.00
0.047986,0.115443,0.122343,0.143872,0.00500000,18.5300,43.00,52.50,58.50,-1.00
0.051822,0.098609,0.496407,0.153757,0.00500000,17.1400,44.00,51.50,57.00,-1.00
0.052341,0.137979,0.176080,0.161060,0.00500000,19.3500,40.50,49.00,55.00,-1.00
0.048330,0.121611,0.339979,0.159027,0.00500000,6.4400,41.00,50.00,56.00,-1.00
0.044909,0.127230,0.448447,0.137761,0.00500000,17.8900,42.00,53.00,58.50,-1.00
0.047436,0.089195,0.437541,0.123797,0.00500000,12.1200,47.50,57.00,61.50,-1.00
0.040560,0.086747,0.450349,0.214469,0.00500000,15.8500,44.50,52.00,57.00,-1.00
0.052399,0.137296,0.457604,0.116202,0.00500000,16.0400,41.00,51.50,55.00,-1.00
0.054514,0.115850,0.499840,0.128216,0.00500000,5.8600,43.00,51.00,57.50,-1.00
0.039373,0.105286,0.123581,0.218004,0.00500000,13.5400,44.00,50.50,55.00,-1.00
0.037580,0.095890,0.284192,0.213446,0.00500000,16.7300,44.50,52.00,56.00,-1.00
0.039804,0.076973,0.424484,0.216209,0.00500000,16.2900,46.00,52.00,57.00,-1.00
0.050919,0.106870,0.396832,0.216693,0.00500000,11.6300,41.00,47.00,51.00,-1.00
0.038194,0.081793,0.593410,0.198707,0.00500000,17.8000,48.00,57.00,61.50,-1.00
0.047121,0.104024,0.536873,0.124014,0.00500000,13.2400,44.00,54.00,59.00,-1.00
0.052337,0.116361,0.399833,0.131546,0.00500000,11.3400,41.00,50.00,55.50,-1.00
0.048835,0.123941,0.461345,0.167952,0.00500000,13.7700,42.50,52.00,56.00,-1.00
