brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.044667,0.086518,0.582846,0.102042,0.00679616,10.1500,49.00,58.50,65.00,-1.00
0.047268,0.096524,0.417623,0.130325,0.00408595,12.5700,41.00,51.50,57.50,-1.00
0.038549,0.095565,0.319524,0.201409,0.00480344,2.4200,42.00,50.00,54.00,-1.00
0.041797,0.118392,0.281987,0.103413,0.00497168,10.4200,44.00,56.50,62.00,-1.00
0.049092,0.118224,0.156849,0.142856,0.00486848,12.4300,41.00,52.00,58.00,-1.00
0.054507,0.127110,0.207360,0.109195,0.00658506,13.8000,42.00,53.50,60.00,-1.00
0.051302,0.119739,0.338617,0.149937,0.00422623,10.0400,41.00,51.00,56.00,-1.00
0.042611,0.106878,0.165300,0.174073,0.00461513,14.9100,41.00,50.00,55.00,-1.00
0.047661,0.124839,0.138524,0.133733,0.00534252,15.2200,41.00,51.00,57.00,-1.00
0.051768,0.132819,0.351372,0.123082,0.00531213,12.7300,41.00,52.50,59.00,-1.00
0.050514,0.106636,0.241853,0.208864,0.00496232,12.5600,41.00,49.00,53.00,-1.00
0.048306,0.123071,0.192509,0.129361,0.00480364,11.6700,41.00,51.00,57.50,-1.00
0.044470,0.097174,0.238179,0.118648,0.00462062,11.9200,43.00,52.00,58.00,-1.00
0.044693,0.133025,0.294088,0.124666,0.00497105,14.8100,41.00,54.00,61.00,-1.00
0.044248,0.100825,0.440304,0.206387,0.00420652,10.1200,44.50,51.00,55.00,-1.00
0.043281,0.107527,0.203865,0.152428,0.00421031,1.5200,42.00,51.00,56.00,-1.00
0.051763,0.122937,0.216715,0.215800,0.00626711,12.2900,42.00,49.00,53.00,-1.00
0.038035,0.106551,0.575588,0.124862,0.00601875,14.4900,45.00,57.00,64.00,-1.00
0.047004,0.100960,0.135315,0.204670,0.00548274,6.4400,44.00,49.00,53.00,-1.00
0.042640,0.095498,0.292798,0.202550,0.00434387,10.1300,43.00,49.00,54.00,-1.00
0.042384,0.094548,0.237590,0.236453,0.00585573,11.1600,42.50,48.00,52.50,-1.00
0.040171,0.090935,0.422145,0.154690,0.00438705,14.9800,44.50,54.50,59.00,-1.00
0.049647,0.114970,0.500448,0.127082,0.00452012,15.1700,43.00,54.00,60.00,-1.00
0.039297,0.101733,0.386866,0.197563,0.00441377,8.9000,45.50,53.00,57.00,-1.00
0.045868,0.122727,0.528385,0.151607,0.00458887,11.1200,45.00,55.50,61.00,-1.00
