brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.043425,0.093990,0.564148,0.113421,0.00519598,5.7700,44.50,54.00,61.00,-1.00
0.044020,0.147895,0.356424,0.101118,0.00689717,3.4000,46.00,57.00,64.50,-1.00
0.049066,0.103968,0.479854,0.170284,0.00408925,4.0500,44.50,52.00,55.00,-1.00
0.044397,0.118006,0.458668,0.154654,0.00382068,5.4300,43.00,50.00,57.00,-1.00
0.044501,0.099466,0.391870,0.220095,0.00465316,4.9100,43.00,50.00,54.00,-1.00
0.044506,0.122063,0.423686,0.120705,0.00398135,3.4900,43.00,53.50,60.50,-1.00
0.046592,0.103123,0.360163,0.178173,0.00372684,3.6900,42.50,50.00,55.50,-1.00
0.038924,0.102607,0.372128,0.201753,0.00517108,5.7700,44.00,51.00,56.00,-1.00
0.045367,0.139557,0.226476,0.125584,0.00544500,6.1000,41.50,52.00,58.00,-1.00
0.042638,0.114229,0.178889,0.141443,0.00448879,4.7700,44.00,53.00,60.00,-1.00
0.047185,0.104939,0.246743,0.146743,0.00387384,5.0600,42.50,51.00,56.00,-1.00
0.044118,0.101736,0.482719,0.153703,0.00383801,5.2800,45.50,53.50,58.50,-1.00
0.041419,0.090039,0.464238,0.172870,0.00461827,4.9000,44.00,51.50,56.00,-1.00
0.044165,0.098182,0.158279,0.237334,0.00683391,6.0700,44.00,51.00,55.00,-1.00
0.047816,0.137344,0.184396,0.169519,0.00585792,6.0700,41.00,50.50,55.50,-1.00
0.042990,0.085083,0.509032,0.237163,0.00664635,5.5300,44.00,50.00,54.00,-1.00
0.045957,0.133776,0.243130,0.121399,0.00477437,3.7200,44.00,55.50,61.00,-1.00
0.045601,0.104900,0.406015,0.167563,0.00360024,5.0600,46.00,55.00,60.00,-1.00
0.042219,0.098997,0.492621,0.167421,0.00418199,3.4900,45.00,54.50,59.00,-1.00
