brca1_rate,low_delta,high_delta,neoplastic_div_rate,weight,distance_weighted_sse,onset_age,sat25,sat50,sat90
0.049002,0.128629,0.255249,0.123534,0.00480448,3.4500,41.00,52.00,58.00,-1.00
0.038731,0.102165,0.191860,0.236695,0.00715348,2.9300,46.00,52.00,56.00,-1.00
0.048536,0.111669,0.203957,0.153781,0.00414904,5.0200,43.00,51.50,56.50,-1.00
0.040906,0.121670,0.302635,0.135264,0.00446348,4.4100,41.50,52.00,58.00,-1.00
0.043464,0.095865,0.599758,0.133512,0.00528018,4.2600,42.00,53.50,58.00,-1.00
0.044346,0.113853,0.266424,0.101211,0.00477522,5.0800,43.50,53.00,59.00,-1.00
0.052904,0.121492,0.341316,0.115832,0.00527414,7.3200,42.00,53.00,59.50,-1.00
0.044777,0.122857,0.394298,0.110881,0.00455297,2.6200,46.00,59.00,64.50,-1.00
0.039549,0.086599,0.518037,0.212374,0.00573740,5.0500,43.00,51.00,55.00,-1.00
0.050198,0.110487,0.371327,0.116793,0.00440900,6.7800,42.00,52.00,58.00,-1.00
0.046268,0.089781,0.509855,0.233885,0.00604267,7.7100,42.00,49.00,53.00,-1.00
0.045225,0.100470,0.149412,0.184883,0.00468756,3.0900,44.50,52.00,56.50,-1.00
0.040825,0.110578,0.300466,0.105587,0.00500497,5.0200,46.00,55.50,63.00,-1.00
0.050649,0.109737,0.215095,0.190917,0.00483752,4.6800,43.00,50.00,54.00,-1.00
0.045971,0.119259,0.437647,0.138051,0.00396996,6.7400,43.50,51.00,56.00,-1.00
0.046543,0.114357,0.394618,0.164560,0.00365526,5.4100,42.00,51.00,56.00,-1.00
0.049011,0.130792,0.325685,0.146747,0.00454537,7.5400,42.50,53.50,57.00,-1.00
0.047415,0.101186,0.431507,0.166321,0.00375316,7.4800,43.00,51.00,56.00,-1.00
0.046827,0.139668,0.438713,0.115868,0.00598149,4.0200,43.00,56.00,62.00,-1.00
0.048994,0.131020,0.242330,0.106677,0.00549483,5.9300,41.00,52.00,57.00,-1.00
0.049648,0.107153,0.528428,0.164990,0.00449692,5.7000,45.00,53.50,58.50,-1.00
0.051001,0.133649,0.209716,0.116147,0.00600932,5.0500,44.00,55.00,62.00,-1.00
0.048834,0.094920,0.424754,0.132240,0.00434050,5.8600,42.00,52.00,59.00,-1.00
